Borough,Latitude,Longitude,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,Mean Bathrooms,County,Event Date Crimes,Event Ending Date Crimes,Event Report Date Crimes,Description Crimes,Attempt Complete Crimes,Level of Offense Crimes,Borough Crimes,Latitude Crimes,Longitude Crimes,Crimes Distance,BlockCode Census,Latitude Census,Longitude Census,County Census,Borough Census,TotalPop Census,Men Census,Women Census,Hispanic Census,White Census,Black Census,Native Census,Asian Census,Citizen Census,Income Census,IncomeErr Census,IncomePerCap Census,IncomePerCapErr Census,Poverty Census,ChildPoverty Census,Professional Census,Service Census,Office Census,Construction Census,Production Census,Drive Census,Carpool Census,Transit Census,Walk Census,OtherTransp Census,WorkAtHome Census,MeanCommute Census,Employed Census,PrivateWork Census,PublicWork Census,SelfEmployed Census,FamilyWork Census,Unemployment Census,Census Distance
BRONX,40.851812,-73.90795200000002,0,24,11,0,0,2,5,1.135135135135135,BRONX,11/29/2015,,11/29/2015,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,40.85177656,-73.90800417,0.005899598779119736,36005024100.0,40.8531155779,-73.9064321608,BRONX,BRONX,6324.0,3194.0,3130.0,69.1,0.9,27.3,0.1,1.5,2801.0,23856.0,4225.0,11044.0,1583.0,38.6,54.0,16.1,43.2,16.8,8.5,15.4,14.8,5.4,63.1,10.0,2.0,4.8,41.4,2501.0,92.8,3.8,3.4,0.0,15.9,0.19332556666160705
BRONX,40.816096,-73.898955,0,18,2,0,0,1,0,1.6666666666666667,BRONX,6/4/2015,6/24/2015,8/3/2015,FORGERY,COMPLETED,FELONY,BRONX,40.81610417,-73.89895658,0.0009184294338745712,36005008500.0,40.8158040201,-73.89851758795,BRONX,BRONX,5959.0,3196.0,2763.0,77.4,1.0,19.5,0.0,1.0,2988.0,27174.0,7981.0,12216.0,1583.0,39.3,41.9,15.4,36.2,27.8,7.8,12.8,13.1,3.4,66.7,11.7,3.2,1.9,37.9,2188.0,82.8,5.3,9.8,2.1,15.1,0.04909750880489821
BRONX,40.823674,-73.901484,1,25,9,0,0,0,0,2.1142857142857143,BRONX,12/22/2015,,12/22/2015,FELONY ASSAULT,COMPLETED,FELONY,BRONX,40.82342387,-73.90158306,0.02904445375962702,36005013300.0,40.8225879397,-73.9032663317,BRONX,BRONX,7284.0,3419.0,3865.0,69.8,1.0,28.8,0.0,0.0,4211.0,25282.0,8305.0,13793.0,1895.0,25.5,26.4,13.4,44.1,21.2,1.3,20.0,18.9,3.5,62.0,5.3,8.2,2.1,36.5,2479.0,72.7,13.6,13.8,0.0,15.0,0.19261213774014377
BRONX,40.823745,-73.901455,1,11,7,0,0,1,0,2.35,BRONX,12/22/2015,,12/22/2015,FELONY ASSAULT,COMPLETED,FELONY,BRONX,40.82342387,-73.90158306,0.03731015949629513,36005013300.0,40.8225879397,-73.9032663317,BRONX,BRONX,7284.0,3419.0,3865.0,69.8,1.0,28.8,0.0,0.0,4211.0,25282.0,8305.0,13793.0,1895.0,25.5,26.4,13.4,44.1,21.2,1.3,20.0,18.9,3.5,62.0,5.3,8.2,2.1,36.5,2479.0,72.7,13.6,13.8,0.0,15.0,0.1995198112769657
BRONX,40.826274,-73.89040899999998,1,11,3,0,0,1,0,2.5,BRONX,11/27/2015,11/27/2015,11/27/2015,OFFENSES AGAINST PUBLIC ADMINI,COMPLETED,MISDEMEANOR,BRONX,40.82626558,-73.89043906,0.0026978426223786467,36005012701.0,40.8259798995,-73.89218592965,BRONX,BRONX,1992.0,791.0,1201.0,78.3,2.1,16.1,0.3,2.8,1271.0,18641.0,3928.0,11700.0,1884.0,49.4,59.9,17.4,34.3,27.3,8.8,12.2,4.4,4.3,72.2,16.9,1.7,0.5,39.7,656.0,83.4,14.8,1.8,0.0,9.0,0.15309513494648033
BRONX,40.826397,-73.89030699999998,0,14,18,0,0,0,0,2.03125,BRONX,11/27/2015,11/27/2015,11/27/2015,OFFENSES AGAINST PUBLIC ADMINI,COMPLETED,MISDEMEANOR,BRONX,40.82626558,-73.89043906,0.01836371919979646,36005012701.0,40.8259798995,-73.89218592965,BRONX,BRONX,1992.0,791.0,1201.0,78.3,2.1,16.1,0.3,2.8,1271.0,18641.0,3928.0,11700.0,1884.0,49.4,59.9,17.4,34.3,27.3,8.8,12.2,4.4,4.3,72.2,16.9,1.7,0.5,39.7,656.0,83.4,14.8,1.8,0.0,9.0,0.16480901359425865
MANHATTAN,40.805491,-73.95088200000002,33,5,2,0,0,1,0,2.2195121951219514,NEW YORK,10/1/2015,,12/21/2015,PETIT LARCENY,ATTEMPTED,MISDEMEANOR,MANHATTAN,40.80551045,-73.95096264,0.007125714002665864,36061022000.0,40.8056281407,-73.95075376883334,NEW YORK,MANHATTAN,5379.0,2697.0,2682.0,16.7,14.6,59.8,0.0,5.2,3583.0,47808.0,10415.0,36435.0,6590.0,22.5,30.3,44.4,15.2,30.3,4.6,5.5,9.8,1.6,76.5,7.4,1.1,3.6,37.6,2657.0,74.5,19.7,5.8,0.0,8.3,0.01868815052705462
MANHATTAN,40.805577,-73.950795,30,7,2,0,0,1,0,1.8,NEW YORK,12/23/2015,,12/23/2015,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,MANHATTAN,40.80544176,-73.95080014,0.015048946172095758,36061022000.0,40.8056281407,-73.95075376883334,NEW YORK,MANHATTAN,5379.0,2697.0,2682.0,16.7,14.6,59.8,0.0,5.2,3583.0,47808.0,10415.0,36435.0,6590.0,22.5,30.3,44.4,15.2,30.3,4.6,5.5,9.8,1.6,76.5,7.4,1.1,3.6,37.6,2657.0,74.5,19.7,5.8,0.0,8.3,0.006663941237856678
QUEENS,40.606379,-73.750535,30,30,81,0,0,1,27,1.295774647887324,QUEENS,6/27/2015,6/27/2015,7/1/2015,GRAND LARCENY,COMPLETED,FELONY,QUEENS,40.60622775,-73.75071308,0.02256489514884127,36081103202.0,40.60683873915454,-73.74756509822726,QUEENS,QUEENS,7195.0,3647.0,3548.0,34.3,37.2,23.2,1.5,1.1,3345.0,47935.0,11378.0,17910.0,2192.0,15.9,19.0,29.8,34.2,17.1,7.8,11.1,43.5,4.0,36.3,9.9,3.8,2.6,40.0,2940.0,79.6,10.9,9.6,0.0,8.1,0.2559544366292188
MANHATTAN,40.7282,-73.97891899999998,13,2,1,0,0,0,0,2.9375,NEW YORK,11/25/2015,,11/25/2015,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,40.72811452,-73.97899943,0.011677464031036386,36061002800.0,40.7264824121,-73.9776633166,NEW YORK,MANHATTAN,7240.0,3442.0,3798.0,48.0,23.7,13.7,0.0,12.3,5079.0,30056.0,7828.0,24697.0,3561.0,34.7,57.3,43.3,20.5,23.0,4.4,8.8,8.6,1.0,61.7,20.9,6.2,1.5,33.8,3069.0,73.7,15.8,10.5,0.0,12.0,0.2184080361548201
